region_code,region_name,municipality_code,municipality_name,piece,group,x,y
12,Skåne län,1264,Skurup,1,104.1,410892.047284616,6138117.49924729
12,Skåne län,1264,Skurup,1,104.1,403988.566529409,6138362.36107628
12,Skåne län,1264,Skurup,1,104.1,403510.320587931,6141940.0565749
12,Skåne län,1264,Skurup,1,104.1,401532.748794533,6143194.50529646
12,Skåne län,1264,Skurup,1,104.1,402881.885366222,6145538.99777767
12,Skåne län,1264,Skurup,1,104.1,403362.161564772,6148598.06805618
12,Skåne län,1264,Skurup,1,104.1,402096.242153018,6150023.67933949
12,Skåne län,1265,Sjöbo,1,105.1,412113.904051472,6168313.16525472
12,Skåne län,1265,Sjöbo,1,105.1,412800.104485939,6170073.30284571
12,Skåne län,1265,Sjöbo,1,105.1,409545.611803837,6173430.83394963
12,Skåne län,1265,Sjöbo,1,105.1,412738.002830277,6178421.59507793
12,Skåne län,1265,Sjöbo,1,105.1,415839.38197719,6176801.46304871
12,Skåne län,1265,Sjöbo,1,105.1,417817.759650817,6178406.7269044
12,Skåne län,1265,Sjöbo,1,105.1,421604.198235964,6178216.89077319
12,Skåne län,1265,Sjöbo,1,105.1,421029.352861624,6180288.23931248
12,Skåne län,1265,Sjöbo,1,105.1,423446.37618164,6182250.46403746
12,Skåne län,1265,Sjöbo,1,105.1,429262.741262323,6180443.01975385
12,Skåne län,1265,Sjöbo,1,105.1,431768.459931904,6178908.8948227
12,Skåne län,1265,Sjöbo,1,105.1,430571.24234312703,6175881.33027025
12,Skåne län,1265,Sjöbo,1,105.1,435096.504096901,6169578.83213631
12,Skåne län,1265,Sjöbo,1,105.1,435544.262268353,6166314.50763426
12,Skåne län,1265,Sjöbo,1,105.1,431017.643543215,6161553.05432258
12,Skåne län,1265,Sjöbo,1,105.1,428858.706637925,6161976.7741686
12,Skåne län,1265,Sjöbo,1,105.1,428019.578306634,6159180.31074447
12,Skåne län,1265,Sjöbo,1,105.1,425208.387277307,6159739.39760299
12,Skåne län,1265,Sjöbo,1,105.1,422901.725130076,6156960.90102763
12,Skåne län,1265,Sjöbo,1,105.1,419909.892078315,6155258.95250645
12,Skåne län,1265,Sjöbo,1,105.1,414689.268047806,6154405.74154439
12,Skåne län,1265,Sjöbo,1,105.1,409033.383825051,6156438.08898778
12,Skåne län,1265,Sjöbo,1,105.1,406600.28048481,6160594.80819641
12,Skåne län,1265,Sjöbo,1,105.1,408114.750673284,6166169.7002607
12,Skåne län,1265,Sjöbo,1,105.1,411661.637753101,6166548.75197537
12,Skåne län,1265,Sjöbo,1,105.1,412113.904051472,6168313.16525472
